,企業名,セールスポイント,採用ステータス,初年度年収
307,株式会社KDDIエボルバ | 《男女共に活躍出来る職場》年間休日123日／残業も殆どナシ,【カスタマーサポート】自慢の職場環境！6月入社積極採用中★ 正社員,正社員,"仕事内容 《ノルマ等一切なし》サービスに関する問合せ対応、契約内容などのご案内や変更受付をお任せ★◎出来ることから徐々にお任せしますのでご安心下さい。
対象となる方 《男女共に活躍中／原則定時退社／転勤なし》◎約1ヶ月の充実研修で安心！◎会話形式の面接で、その場で内定♪
勤務地 北海道札幌市白石区東札幌2条1丁目2-7 【東札幌駅から徒歩3分】 ※マイカー通勤可 ※転勤なし…
給与 月給203,500円以上 ＋ 残業代別途支給 ＋ 各種諸手当＋一時金(会社の業績による) ※経験・能力を考慮のう…
初年度年収 300万円～400万円"
308,有限会社高本鑑定事務所 | 【大阪府緊急雇用対策に賛同】月収50万超も可能｜完全週休2日,未経験から活躍!【損害調査スタッフ】残業少なめ＆年休120日以上 正社員,正社員,"仕事内容 《社会貢献につながる、やりがいのあるお仕事★在宅・直行直帰など柔軟な働き方が可能》自然災害や事故などによる被害状況の調査・鑑定をお任せします
対象となる方 《未経験から鑑定プロフェッショナルを目指せます》■普免(AT可)■大卒以上◎資格は入社後でOK⇒資格取得サポートあり◎20代活躍中
勤務地 ★転勤ナシ ★長堀橋駅・心斎橋駅から徒歩すぐ 大阪府大阪市中央区南船場2丁目7-11　心斎橋EPビ…
給与 ■月給18万〜22万円＋諸手当＋業績給 ※業績給があるため、月収50万超えも可能！ ※経験・能力・年齢を考…
初年度年収 300万円～600万円"
309,福岡エムケイ株式会社 | 【 MKグループ 】★ 6月6日(日)福岡転職セミナー参画 ★,【グランドパイロット(役員送迎・VIP送迎/空港送迎)】※転勤なし 正社員,正社員,"仕事内容 ★予約営業が中心★役員やVIP送迎、空港送迎をお任せ★車種はアルファードHVやクラウンHV等★直近では「ハイエース」も導入【全車両抗菌加工済】
対象となる方 【年齢・学歴・転職回数は問いません／ほぼ100%が未経験入社】■普通自動車免許取得後3年以上の方（ＡＴ限定OK！）★二種免許取得支援あり
勤務地 【マイカー通勤OK・希望考慮・転勤なし】 福岡県福岡市中央区那の津3-14-16 最寄り駅：地下鉄…
給与 月給25万円＋業績給＋賞与年2回＋一律手当 ◎いずれも基準外手当として固定残業代を含む（超過分手当別…"
310,株式会社くらいす住建 | ★★未経験でも月給30万～選択可★★1年で係長になった社員も！,【提案営業】高収入が実現！1年目から年収1000万も目指せる！ 正社員,正社員,"仕事内容 【ニーズ拡大！担当エリアは事務所から1時間圏内】お客様の住まいの状況を確認し、ぴったりのリフォームプランなどをご提案！※手当・インセン大充実
対象となる方 ＼平均年齢25歳！若手の男性が活躍中／【未経験・第二新卒歓迎！】★ポストチャンス豊富（役職手当・最大12万）※収入＆キャリアUPを目指す方はぜひ
勤務地 【転勤なし！岐阜・埼玉(川越・熊谷)／マイカー通勤OK】 ★ー 7月熊谷に新拠点をOPEN！ オー…
給与 【選べる働き方】 ■A：月給30万円以上＋歩合給＋達成金（月最大12万円まで） ■B：月給18万円以上＋歩合…
初年度年収 400万円～800万円"
311,株式会社エイトハウジング | ★★未経験でも大歓迎★★業績好調！大阪府緊急雇用対策に賛同,月給30万も選択可！高収入を手に【既存営業】※土日休・定時退社 正社員,正社員,"仕事内容 【メリハリ重視で無理なく働ける♪】既にお付き合いがあるお客様を中心に、リフォームプランをご提案。※各拠点で現地採用♪面接1回／即日採用あり
対象となる方 ＼未経験・第二新卒歓迎／■学歴も年齢もいっさい不問！　■ネイル・髪型自由！　※人の役に立ちたい、人と関わるのが好き、そんな方歓迎！
勤務地 【大阪(本町)・奈良(橿原)・和歌山(和歌山)のいずれか】 ※転勤なし！選べる勤務地 ■大阪府大阪…
給与 【選べる働き方】 ■A：月給30万円以上＋歩合給＋達成金（月最大12万円まで） ■B：月給18万円以上＋歩合…
初年度年収 400万円～800万円"
312,株式会社サンライト | 茨城県水戸市に拠点を置いたリフォーム事業で、売上前年比139％,【修繕・リフォーム提案営業】点検で訪問した自宅限定！未経験OK 正社員,正社員,"仕事内容 定期点検が必要な太陽光発電機を設置されているご自宅へ、アポイントの上訪問。同時に老朽箇所があれば修繕・リフォーム提案を行います。飛び込みなし
対象となる方 【学歴不問／要普通免許（AT限定OK）】未経験者OK！営業経験者・リフォーム業界でのメンテナンス経験者尚歓迎！エクセルやワードの打込みができる方
勤務地 茨城県水戸市城南2-10-6　Gardens水戸302 ※転勤なし ※マイカー通勤OK！
給与 月給25万円以上＋インセンティブ ※試用期間3ヵ月あり（期間中に待遇の変動はございません） ※上記には…
初年度年収 350万円～500万円"
313,株式会社エスコーポレーション | 大阪府緊急雇用対策に賛同／月収50万円超も可／完全週休2日,世界に1台の車を提案する【カーライフアドバイザー】ノルマなし 正社員,正社員,"仕事内容 【反響メイン◎販売ノルマ・テレアポは一切なし！】カスタムカーのご購入を検討されるお客様への提案をお任せします！
対象となる方 【未経験・第二新卒歓迎／先輩のほとんどが未経験スタートです◎】◆男女・学歴不問 ◆要普免(AT限定可) ◆車に囲まれた仕事がしたい方、歓迎！
勤務地 【転勤なし／マイカー・バイク通勤OK！】 ★車の貸出制度もあります！ 大阪府寝屋川市高宮栄町25-…
給与 月給200,000円~400,000円 + インセンティブ + 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定…"
314,"株式会社ヒビヤト | 未経験OK！日給月給22万7,500円以上スタート！◆100％面接保証",空調・衛生設備の【メンテナンススタッフ】★未経験歓迎 正社員,正社員,"仕事内容 《コアメンバーとして活躍》大型ビジネスタワーやアミューズメント施設など有名施設の空調・水まわり用配管施工やメンテナンスをお任せします
対象となる方 ≪20～30代活躍中！≫こんな方はぜひ⇒資格を取りたい、安定した収入がほしい等★残業ほぼなし、有給取得推奨、住宅手当、退職金あり
勤務地 —★転勤なし！池袋駅から6分「小竹向原駅」 —★現場へは直行直帰になります！ 関東（東京・埼玉・神…
給与 日給月給22万7,500円〜44万5,000円 ★モデル年収 26歳／470万円 ※経験・年齢を考慮の上、当社規定により…"
315,株式会社A-Trus | ☆年間休日122日☆《 毎月の歩合給あり！頑張りが収入に直結！》,★企業と求職者をマッチングする【営業スタッフ】20代30代活躍中 正社員,正社員,"仕事内容 【 人手不足の企業と働きたい求職者の橋渡しをする仕事★ノルマなし 】 固定給+歩合給で収入アップもできます。＊入社2年目で年収800万円の先輩も！
対象となる方 【 学歴不問☆正社員・営業デビュー歓迎！ 】◆40歳以下の方※ ◆要普免 ＊未経験入社2年目で年収800万円を実現した先輩も！2年目で課長昇進実績も有
勤務地 ◆愛知県名古屋市天白区平針1-1006 CHIAIビル1F ＊基本は直行直帰です ＊駅チカ！市営地…
給与 【 月給：20万円以上＋歩合給＋各種手当 】 ※あなたの経験・スキルを考慮して決定いたします。"
316,株式会社ユーアイテック | 右肩上がりの成長を継続,【電気工事スタッフ】経験・知識・資格不問。面接は1回のみ 正社員,正社員,"仕事内容 主にエアコンまたはケーブルテレビ（CATV）の取り付けを行っていただきます。経験や知識は一切不要です。資格取得も支援！★完全週休二日制
対象となる方 【学歴不問】＜未経験・第二新卒歓迎＞前職不問。フリーター、正社員経験のない方も大歓迎です。何となく応募もOK！　＝要普通自動車免許(AT限定可)＝
勤務地 綾瀬または横須賀の各事業所 ※勤務地は希望に応じます。 ■綾瀬／神奈川県綾瀬市早川城山5-13-3…
給与 日給1万円〜1.5万円（固定残業手当1時間1500〜2250円含む） ※固定残業時間超過分別途支給 ※経験・能力…
初年度年収 300万円～650万円"
